Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Singapore,SGP,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,3807400000,3674400000,3756600000,4374400000,3639000000,4007100000,4380100000,4610100000,5723500000,7193700000,8526900000,9690300000,10154900000,13243200000,21106800000,20105500000,23468200000,26856000000,31020200000,40238700000,54049500000,61188300000,63607600000,63283400000,65374600000,62079800000,59742400000,73350700000,93588300000,1.03168E+11,1.17821E+11,1.2201E+11,1.27029E+11,1.48614E+11,1.68859E+11,2.04955E+11,2.17298E+11,2.31246E+11,2.09839E+11,2.34523E+11,2.92253E+11,2.69188E+11,2.77107E+11,3.00246E+11,3.6682E+11,4.16558E+11,4.7034E+11,4.99051E+11,5.72272E+11,4.723E+11,5.59932E+11,6.11161E+11,6.27956E+11,6.50322E+11,6.59341E+11,6.20355E+11,6.00109E+11,
Singapore,SGP,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1243760617,1200313603,1227165817,1428982099,1188749510,1308996472,1430844113,1505978048,1869691624,2349960800,2785476284,3165523324,3328711443,4708693333,8589077887,8250441134,9896765487,10869354055,12716323686,17695118734,24854915847,28576639268,30107256118,29571682243,30939233318,29103089400,27154402073,33687287591,44438888889,51266199563,60411526432,70627959479,77979742173,91975244461,1.10553E+11,1.44599E+11,1.54112E+11,1.55742E+11,1.25382E+11,1.38362E+11,1.6952E+11,1.50242E+11,1.54756E+11,1.72337E+11,2.17028E+11,2.50275E+11,2.96016E+11,3.31133E+11,4.04461E+11,3.24716E+11,4.10658E+11,4.85897E+11,5.02485E+11,5.19717E+11,5.20355E+11,4.51233E+11,4.34389E+11,
Singapore,SGP,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,11.33781591,11.53139291,15.47345938,17.34810172,19.8179758,21.71886527,21.74198164,21.94297782,24.64754831,28.30251836,38.19775357,40.11059615,40.88772657,38.93846198,44.53926379,38.80536131,39.5963178,35.24274339,37.86168942,42.12197199,45.03352227,44.78904059,46.28051976,46.46876503,46.95434272,41.13350268,36.5870912,36.55139827,33.44758828,34.10176335,35.64042305,33.96879467,35.49235665,37.17071727,32.86528669,33.84065702,35.02151486,38.20378084,31.56909181,32.70327022,34.89862164,27.7603062,25.47963645,17.66185905,23.12349904,21.38890199,22.34918134,23.16466224,30.53407525,27.79034367,28.23799149,27.13312313,29.87974239,30.48524879,28.6385603,26.76981381,25.34282752,
Singapore,SGP,Gross capital formation (constant LCU),NE.GDI.TOTL.KN,,,,,,,,,,,,,,,,12826976600,13504512300,13045729300,14763125900,17109120000,19334947000,20232147400,22640352800,24854831800,26999804400,24031089400,22248745900,24149230100,23622257800,26151238300,30820733200,31161983400,33883575700,39510759800,39536596700,45252538300,49720505100,59327692400,45558934000,50419926200,63268484300,49490404300,47578977400,33682655500,49759817800,49496281000,56830121600,63696972200,82534431500,73196961500,91028300000,93937100000,1.06738E+11,1.11676E+11,1.07689E+11,1.04481E+11,1.01026E+11,
Singapore,SGP,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,5.282115351,-3.397257078,13.16443535,15.89090357,13.00959371,4.640304419,11.90286603,9.781115248,8.630002477,-10.9953204,-7.416823559,8.541983483,-2.182149484,10.70592202,17.85573152,1.10720987,8.733694082,16.60740929,0.065392061,14.45734352,9.87340593,19.32238476,-23.20797901,10.66967941,25.48309581,-21.77716149,-3.862217185,-29.20685281,47.73127909,-0.529617695,14.81695281,12.08311791,29.5735553,-11.31342378,24.36076325,3.195489754,13.62699083,4.626379196,-3.57050754,-2.978402542,-3.306719295,
Singapore,SGP,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,,,,,,,,,,,,,,,,9407390246,9904299450,9567824936,10827375064,12547942794,14180379171,14838391933,16604585845,18228699523,19801836744,17624561349,16317378731,17711206527,17324721525,19179492703,22604131426,22854406601,24850440557,28977454932,28996403887,33188513605,36465350275,43511325559,33413226256,36978310378,46401528640,36296592813,34894739567,24703084342,36494182472,36300902824,41679590466,46715784525,60531302897,53683140081,66760762743,68894096076,78282288229,81903923726,78979537954,76627209388,74093362670,
Singapore,SGP,Gross capital formation (current LCU),NE.GDI.TOTL.CN,244500000,269800000,391200000,487100000,542200000,647700000,729400000,831200000,1075200000,1437400000,2244500000,2778100000,3392700000,4045200000,5709800000,5327200000,5940200000,5762400000,6941600000,8902900000,11647200000,13591100000,15721400000,17676300000,19580900000,16792300000,14947400000,16631800000,17847700000,20878600000,25129100000,26684900000,30155300000,36423400000,37035300000,42157100000,47604500000,56818000000,45282800000,47828500000,57658700000,44409300000,41947100000,29847800000,44628700000,45360300000,52483700000,62834100000,83046700000,77773500000,91028300000,94056700000,1.07975E+11,1.15396E+11,1.11819E+11,1.09247E+11,1.03975E+11,
Singapore,SGP,Gross capital formation (current US$),NE.GDI.TOTL.CD,79870638.97,88135371.75,127793022.3,159120606.3,177120083.6,211583692.7,238272572.8,271527505.6,351234809.9,469554423.1,733209199,907519926.8,1112105418,1438293333,2323512656,2186056055,2505039430,2332200097,2845617775,3915083553,5356019498,6347422006,7441378331,8259953271,9266871746,7872251653,6793963911,7638376045,8474691358,10374975154,12884735682,15447120116,18511540823,22542022528,24247282965,29742556794,33762056738,38266433190,27057122371,28217404130,33444721578,24786124909,23426281693,17132246585,26404390013,27253244412,33031468311,41692057594,58694395364,53470952217,66760762743,74778740658,86400896215,92221130025,88247652119,79463703811,75262034021,
Singapore,SGP,Changes in inventories (constant LCU),NE.GDI.STKB.KN,4629000000,4355900000,4396900000,4687000000,4232700000,4381600000,4511800000,4611700000,4561800000,4604300000,5425200000,5242100000,4954800000,4931500000,5940800000,5362100000,5591900000,4926400000,5328500000,6320900000,6200600000,5029700000,4155100000,4301500000,4347400000,4128800000,4890500000,6757300000,5362900000,4991800000,7148900000,4273900000,3761600000,6301700000,3028400000,4314100000,-1259800000,2867400000,-7748400000,-569700000,6226800000,-4993500000,-2158400000,-13334300000,-2042600000,-3695700000,-1528000000,-4056200000,7177400000,-4797300000,6803500000,5364600000,10896200000,10353100000,7474500000,3178900000,2304000000,
Singapore,SGP,Changes in inventories (current LCU),NE.GDI.STKB.CN,39600000,-27500000,31700000,41000000,-4900000,22700000,74100000,93200000,78400000,111700000,356000000,270700000,300100000,438900000,897200000,537700000,693900000,341400000,592300000,1380300000,1424500000,802300000,153100000,131600000,295100000,126400000,584600000,1893300000,1663200000,1459100000,2771000000,656000000,269400000,2504800000,-499700000,865200000,-3851000000,-391600000,-9364000000,-2752600000,4716700000,-5273200000,-2780100000,-12829900000,-2700600000,-3576000000,-1670700000,-3571600000,5974000000,-4143700000,6803500000,5646500000,11332400000,10486100000,7436000000,2850600000,1960000000,
